,0
0,1427016.074690722
1,1427289.8115210873
2,1428896.0304385868
3,1430842.4185829856
4,1432386.680157085
5,1432281.3167991138
6,1430775.0773958736
7,1436541.8532487191
8,1440663.7958467868
9,1442782.9126502774
10,1452878.2997678753
11,1445297.7969817126
12,1451269.022118844
13,1450533.2240039941
14,1459598.4577411711
15,1451562.240999135
16,1452220.7894842813
17,1465845.522258476
18,1466000.6648460657
19,1462644.1903108007
20,1471324.0024749301
21,1475988.0819013717
22,1473865.6820972129
23,1463774.0592675933
24,1459882.8092270205
25,1454070.389101021
26,1476814.2350076742
27,1488405.666119471
28,1480021.4514610092
29,1508823.8840391801
30,1507750.8333107717
31,1509105.8831052657
32,1506446.2526616803
33,1513942.3511792268
34,1512707.6881872981
35,1505076.509432419
36,1490537.0304212573
37,1485546.4979136442
38,1492009.8576774106
39,1484266.0873222123
40,1482335.3074612296
41,1477834.4814557668
42,1461229.17462685
43,1457041.6732313016
44,1479887.717364533
45,1485804.3241642548
46,1487076.3758797226
47,1490868.8056140419
48,1496771.2914408015
49,1508569.8540134074
50,1509953.6067774333
51,1507799.4481060074
52,1529212.4502285742
53,1502178.2302637307
54,1504741.1248027596
55,1507414.4116650433
56,1501144.3781523316
57,1508118.6180573537
58,1523562.4351834436
59,1547610.0000041637
60,1545837.96605306
61,1544292.1491969062
62,1544292.1491969062
