,0
0,-980.7523738017771
1,-11114.179772324162
2,546.1867302439641
3,-7662.531090586679
4,-748.3197527874727
5,7649.071808559354
6,-5769.636419520946
7,164.11925702355802
8,4974.815580174327
9,-5356.772169065196
10,-9230.90572055406
11,10017.615818675607
12,1518.761382460827
13,7812.981021268759
14,4183.68065664079
15,3370.148941708496
16,1436.160493740579
17,-5730.194046289194
18,-9351.603921383386
19,-5246.728858952876
20,-1293.586870486848
21,3293.3044068701565
22,-5089.775120929349
23,-1049.5943294898607
24,-4130.521982064005
25,6185.302370941965
26,8456.536781622563
27,5021.426724581979
28,4517.793895753333
29,4584.084469296504
30,-4013.086158166174
31,549.7602827353403
32,7843.837191632949
33,-4231.471240303479
34,3517.873535190476
35,1786.2486561771948
36,917.9530729902908
37,-2905.727505019866
38,16951.40726915351
39,2784.255328252213
40,-4173.646940440638
41,-1400.747917019762
42,-3478.1073812006507
43,-6152.508361827349
44,2271.218963349471
45,471.74621772463433
46,410.9393620218616
47,-2178.220787495142
48,6740.896459849551
49,1790.285106756026
50,2366.681404547766
51,-4022.8012048322707
52,-8719.413604040863
53,1042.1574570653029
54,3071.0924547119066
55,-3841.8178293558303
56,-1174.0146119734272
57,6254.954005992506
58,-437.3458092280198
59,8287.66551742563
60,-8713.730487441644
61,-290.7113704851363
