,0
0,1419326.9405713675
1,1418046.0382172896
2,1417864.6841708773
3,1417864.6841708773
4,1417864.6841708773
5,1417864.6841708773
6,1417864.6841708773
7,1419542.532301097
8,1417914.6080495338
9,1422292.841707415
10,1422212.5228882662
11,1421872.568386256
12,1421872.568386256
13,1421872.568386256
14,1421872.568386256
15,1421872.568386256
16,1421872.568386256
17,1421872.568386256
18,1421872.568386256
19,1421872.568386256
20,1421872.568386256
21,1421872.568386256
22,1421872.568386256
23,1421872.568386256
24,1421872.568386256
25,1421872.568386256
26,1421872.568386256
27,1421872.568386256
28,1421872.568386256
29,1421872.568386256
30,1421872.568386256
31,1421872.568386256
32,1421872.568386256
33,1421872.568386256
34,1421872.568386256
35,1421872.568386256
36,1421872.568386256
37,1421872.568386256
38,1421872.568386256
39,1421872.568386256
40,1421872.568386256
41,1421872.568386256
42,1421872.568386256
43,1421872.568386256
44,1421872.568386256
45,1421872.568386256
46,1421872.568386256
47,1421872.568386256
48,1421872.568386256
49,1421872.568386256
50,1421872.568386256
51,1421872.568386256
52,1421872.568386256
53,1421872.568386256
54,1421872.568386256
55,1421872.568386256
56,1421872.568386256
57,1427130.9825984526
58,1427016.074690722
59,1427016.074690722
60,1427016.074690722
61,1427016.074690722
62,1427016.074690722
