,0
0,1394086.2999467915
1,1394470.8764462625
2,1399088.2773322328
3,1403110.769891962
4,1396954.906450708
5,1405660.0008924194
6,1412214.230332486
7,1416797.4498334508
8,1415869.5585882324
9,1425302.1587014892
10,1412363.296134957
11,1415137.29749429
12,1413368.01707908
13,1421786.4149225836
14,1433460.3021807505
15,1441975.1504574923
16,1438321.6823886826
17,1418734.896317363
18,1430251.8470794254
19,1423541.2097164874
20,1422117.6884829574
21,1422117.6884829574
22,1422117.6884829574
23,1422117.6884829574
24,1422117.6884829574
25,1422117.6884829574
26,1422117.6884829574
27,1422117.6884829574
28,1422117.6884829574
29,1422117.6884829574
30,1422117.6884829574
31,1422117.6884829574
32,1422117.6884829574
33,1422117.6884829574
34,1422117.6884829574
35,1421498.8793967068
36,1423037.3414221373
37,1426729.770743537
38,1427142.4379075398
39,1429298.186993943
40,1425097.2810352466
41,1424181.7259336151
42,1424181.7259336151
43,1423625.7225362305
44,1425312.7264576799
45,1423099.2535212724
46,1419333.572125427
47,1423240.8347328152
48,1422419.4593203682
49,1422419.4593203682
50,1422419.4593203682
51,1422419.4593203682
52,1423573.6244037692
53,1423411.026757936
54,1424821.0573505606
55,1426979.5435840082
56,1423013.897323678
57,1421947.9377710859
58,1417114.1052439618
59,1420350.7636642114
60,1419326.9405713675
61,1419326.9405713675
62,1419326.9405713675
