,0
0,1069673.0882661373
1,1070153.4763336328
2,1060250.6211238815
3,1063425.9410001906
4,1060986.8763480394
5,1071845.9258702528
6,1081200.9714623631
7,1084266.352652594
8,1082104.4789108846
9,1091364.4083126315
10,1093238.5139167153
11,1096408.6715187344
12,1091609.3140635758
13,1091604.419737107
14,1088334.9004103963
15,1087903.5749293463
16,1093287.1889971201
17,1084930.7802155677
18,1083221.7555447381
19,1092892.3603997147
20,1083304.7276182359
21,1079691.0899838666
22,1080234.4055767579
23,1085879.7976298772
24,1087704.110283087
25,1101193.6427866025
26,1086416.653626949
27,1093045.2191698498
28,1081923.6477253167
29,1091150.223641789
30,1082830.9055747783
31,1082571.8439361562
32,1087702.6789733425
33,1091463.3060633494
34,1088531.2045349646
35,1099530.9894309747
36,1104232.6308009853
37,1101641.1752266455
38,1105484.7356973651
39,1097412.686198888
40,1100565.956415699
41,1098987.1172331527
42,1097121.59270302
43,1105727.5643132725
44,1114696.812166645
45,1117867.421994651
46,1116363.7850699245
47,1108307.7608932564
48,1105628.307946781
49,1103328.96983263
50,1098863.4531671952
51,1108423.7496097835
52,1100089.7723685917
53,1105948.4160884453
54,1109108.3418889828
55,1103612.6029198584
56,1116612.8619285692
57,1083260.968319522
58,1071876.8315927326
59,1096958.841691279
60,1117836.9267979087
61,1127009.988786051
62,1128251.5327762824
