,0
0,1539236.413482229
1,1539926.8678837535
2,1539723.9792319345
3,1539723.9792319345
4,1539723.9792319345
5,1539723.9792319345
6,1539723.9792319345
7,1539723.9792319345
8,1539723.9792319345
9,1539723.9792319345
10,1539723.9792319345
11,1539723.9792319345
12,1539723.9792319345
13,1539723.9792319345
14,1539723.9792319345
15,1539723.9792319345
16,1539723.9792319345
17,1539723.9792319345
18,1539723.9792319345
19,1539723.9792319345
20,1539723.9792319345
21,1539723.9792319345
22,1539723.9792319345
23,1539723.9792319345
24,1539723.9792319345
25,1539723.9792319345
26,1539723.9792319345
27,1539723.9792319345
28,1539723.9792319345
29,1539723.9792319345
30,1539723.9792319345
31,1539723.9792319345
32,1539723.9792319345
33,1539723.9792319345
34,1539723.9792319345
35,1539723.9792319345
36,1539723.9792319345
37,1539578.4033423641
38,1539910.7683692176
39,1539674.0726117475
40,1539674.0726117475
41,1539674.0726117475
42,1544427.4143407226
43,1544283.5970926872
44,1544283.5970926872
45,1544283.5970926872
46,1544283.5970926872
47,1544283.5970926872
48,1544283.5970926872
49,1544283.5970926872
50,1544283.5970926872
51,1544283.5970926872
52,1544283.5970926872
53,1544283.5970926872
54,1544283.5970926872
55,1544283.5970926872
56,1544283.5970926872
57,1544283.5970926872
58,1544283.5970926872
59,1544283.5970926872
60,1544283.5970926872
61,1544283.5970926872
62,1544283.5970926872
