,0
0,1559761.091243504
1,1559411.6108204524
2,1559252.0801841305
3,1559252.0801841305
4,1559252.0801841305
5,1559252.0801841305
6,1559252.0801841305
7,1559252.0801841305
8,1559252.0801841305
9,1559252.0801841305
10,1559252.0801841305
11,1559252.0801841305
12,1559252.0801841305
13,1559252.0801841305
14,1559252.0801841305
15,1559252.0801841305
16,1559252.0801841305
17,1559252.0801841305
18,1559252.0801841305
19,1559252.0801841305
20,1559252.0801841305
21,1559252.0801841305
22,1559252.0801841305
23,1559252.0801841305
24,1559252.0801841305
25,1559252.0801841305
26,1559252.0801841305
27,1559252.0801841305
28,1559096.1334774813
29,1558930.4845319565
30,1558930.4845319565
31,1558930.4845319565
32,1558930.4845319565
33,1558930.4845319565
34,1558930.4845319565
35,1558930.4845319565
36,1558930.4845319565
37,1558930.4845319565
38,1558930.4845319565
39,1558930.4845319565
40,1558930.4845319565
41,1558930.4845319565
42,1558930.4845319565
43,1558930.4845319565
44,1558930.4845319565
45,1558930.4845319565
46,1558930.4845319565
47,1558930.4845319565
48,1558930.4845319565
49,1558930.4845319565
50,1558930.4845319565
51,1558930.4845319565
52,1558930.4845319565
53,1558930.4845319565
54,1558930.4845319565
55,1558930.4845319565
56,1558930.4845319565
57,1558930.4845319565
58,1558930.4845319565
59,1558930.4845319565
60,1558930.4845319565
61,1558930.4845319565
62,1558930.4845319565
