,0
0,1558930.4845319565
1,1558131.9689396066
2,1560184.8666707664
3,1559867.9771854803
4,1559065.7866411947
5,1558913.2374375088
6,1558913.2374375088
7,1558913.2374375088
8,1558913.2374375088
9,1558913.2374375088
10,1558913.2374375088
11,1558913.2374375088
12,1558913.2374375088
13,1558913.2374375088
14,1558913.2374375088
15,1558913.2374375088
16,1558913.2374375088
17,1558913.2374375088
18,1558913.2374375088
19,1558913.2374375088
20,1558913.2374375088
21,1558913.2374375088
22,1558913.2374375088
23,1558913.2374375088
24,1558913.2374375088
25,1558913.2374375088
26,1558913.2374375088
27,1558913.2374375088
28,1558913.2374375088
29,1558913.2374375088
30,1558913.2374375088
31,1558913.2374375088
32,1558913.2374375088
33,1552716.8178285626
34,1542109.6132687582
35,1541773.8257864695
36,1541773.8257864695
37,1539402.0092976592
38,1539236.413482229
39,1539236.413482229
40,1539236.413482229
41,1539236.413482229
42,1539236.413482229
43,1539236.413482229
44,1539236.413482229
45,1539236.413482229
46,1539236.413482229
47,1539236.413482229
48,1539236.413482229
49,1539236.413482229
50,1539236.413482229
51,1539236.413482229
52,1539236.413482229
53,1539236.413482229
54,1539236.413482229
55,1539236.413482229
56,1539236.413482229
57,1539236.413482229
58,1539236.413482229
59,1539236.413482229
60,1539236.413482229
61,1539236.413482229
62,1539236.413482229
