,0
0,9781.820236246334
1,-9902.855209751287
2,3175.3198763090186
3,-2439.0646521511953
4,10859.049522213405
5,9355.045592110371
6,3065.381190230837
7,-2161.8737417093944
8,9259.929401746951
9,1874.105604083743
10,3170.1576020191424
11,-4799.357455158606
12,-4.894326468929648
13,-3269.519326710608
14,-431.3254810499493
15,5383.6140677738
16,-8356.408781552454
17,-1709.0246708295308
18,9670.604854976526
19,-9587.63278147881
20,-3613.637634369312
21,543.3155928913038
22,5645.392053119373
23,1824.3126532097813
24,13489.532503515482
25,-14776.989159653429
26,6628.565542900702
27,-11121.571444533067
28,9226.575916472357
29,-8319.318067010725
30,-259.06163862207904
31,5130.835037186276
32,3760.627090006834
33,-2932.1015283847228
34,10999.784896010067
35,4701.641370010562
36,-2591.4555743397214
37,3843.560470719589
38,-8072.049498477019
39,3153.2702168109827
40,-1578.8391825463623
41,-1865.5245301327668
42,8605.971610252513
43,8969.247853372479
44,3170.6098280060105
45,-1503.6369247264229
46,-8056.024176668143
47,-2679.452946475474
48,-2299.3381141510326
49,-4465.516665434698
50,9560.296442588326
51,-8333.97724119178
52,5858.6437198536005
53,3159.9258005374577
54,-5495.738969124388
55,13000.259008710738
56,-33351.89360904717
57,-11384.13672678941
58,25082.01009854651
59,20878.085106629645
60,9173.061988142319
61,1241.543990231352
