,0
0,-5712.594831212191
1,10356.154024465242
2,1531.4234475388657
3,-4342.246868032962
4,12815.003680469468
5,-13869.757451392477
6,-3537.798943771748
7,-2588.6715123595204
8,1469.4361689055804
9,-835.5766115817241
10,974.1616969681345
11,2975.2879498088732
12,-929.8436024598777
13,-4891.264490650268
14,7164.604330857284
15,-1746.866519751493
16,13711.755922470242
17,-5120.982080268906
18,-10475.655873178504
19,-8423.571823444217
20,-2131.6090043687727
21,-5599.6967785721645
22,-977.0085521820001
23,-256.295001599472
24,24713.979030690854
25,-1371.742293433519
26,17376.635620464105
27,18405.118391010445
28,-3579.8741457748692
29,-4610.651696435176
30,2065.509898889577
31,-7111.337983566336
32,880.3925405824557
33,-97.29992871289141
34,9578.69818516937
35,8547.497278532013
36,4035.4551348495297
37,2944.0031522484496
38,-4919.337536311941
39,-4735.070633018855
40,4742.231479624519
41,-2567.642414079979
42,-1148.546321036527
43,816.8780737968627
44,124.7008511617314
45,20723.905840647407
46,-687.0415768541861
47,6618.3406059204135
48,10742.422538027866
49,17291.017794575542
50,-14949.983023190638
51,1845.2762163593434
52,-5327.594992089318
53,-339.66173687926494
54,7480.444353787461
55,-2904.6260532867163
56,-211.01392943109386
57,-1757.500931359129
58,1700.8899841879029
59,-6814.913587331772
60,984.7822000598535
61,-5683.293611974455
