,0
0,1544292.1491969062
1,1542620.3261344552
2,1542366.8363996237
3,1542366.8363996237
4,1542366.8363996237
5,1542366.8363996237
6,1542366.8363996237
7,1542366.8363996237
8,1542366.8363996237
9,1542366.8363996237
10,1542366.8363996237
11,1542366.8363996237
12,1542366.8363996237
13,1542366.8363996237
14,1542366.8363996237
15,1542366.8363996237
16,1542366.8363996237
17,1542366.8363996237
18,1542366.8363996237
19,1542366.8363996237
20,1542366.8363996237
21,1542366.8363996237
22,1542366.8363996237
23,1542366.8363996237
24,1542366.8363996237
25,1542366.8363996237
26,1542366.8363996237
27,1542366.8363996237
28,1542366.8363996237
29,1542366.8363996237
30,1542366.8363996237
31,1542366.8363996237
32,1542366.8363996237
33,1542366.8363996237
34,1542366.8363996237
35,1542366.8363996237
36,1542366.8363996237
37,1542366.8363996237
38,1542366.8363996237
39,1542366.8363996237
40,1542366.8363996237
41,1542366.8363996237
42,1542366.8363996237
43,1542366.8363996237
44,1542366.8363996237
45,1542366.8363996237
46,1542366.8363996237
47,1542366.8363996237
48,1542366.8363996237
49,1542366.8363996237
50,1542366.8363996237
51,1542366.8363996237
52,1542366.8363996237
53,1542366.8363996237
54,1542366.8363996237
55,1542366.8363996237
56,1542366.8363996237
57,1542384.6877421746
58,1543871.0473271399
59,1545873.465541746
60,1549284.6038798448
61,1557148.0761694787
62,1552929.1976292043
