,0
0,1552929.1976292043
1,1545449.8096087428
2,1551434.0945128922
3,1559112.3605593778
4,1557590.3636627963
5,1557590.3636627963
6,1557590.3636627963
7,1557590.3636627963
8,1557987.1457514786
9,1555060.903341661
10,1557530.3166654997
11,1562528.0492918491
12,1565858.6625959156
13,1564894.358982767
14,1564894.358982767
15,1564894.358982767
16,1564894.358982767
17,1564894.358982767
18,1563588.1033956488
19,1563394.739300424
20,1557068.6648805821
21,1560958.6499039833
22,1560259.3967150652
23,1559761.091243504
24,1559761.091243504
25,1559761.091243504
26,1559761.091243504
27,1559761.091243504
28,1559761.091243504
29,1559761.091243504
30,1559761.091243504
31,1559761.091243504
32,1559761.091243504
33,1559761.091243504
34,1559761.091243504
35,1559761.091243504
36,1559761.091243504
37,1559761.091243504
38,1559761.091243504
39,1559761.091243504
40,1559761.091243504
41,1559761.091243504
42,1559761.091243504
43,1559761.091243504
44,1559761.091243504
45,1559761.091243504
46,1559761.091243504
47,1559761.091243504
48,1559761.091243504
49,1559761.091243504
50,1559761.091243504
51,1559761.091243504
52,1559761.091243504
53,1559761.091243504
54,1559761.091243504
55,1559761.091243504
56,1559761.091243504
57,1559761.091243504
58,1559761.091243504
59,1559761.091243504
60,1559761.091243504
61,1559761.091243504
62,1559761.091243504
