,0
0,1378823.2821950295
1,1394625.071200913
2,1411329.0315710756
3,1409917.7113928623
4,1409917.7113928623
5,1409917.7113928623
6,1409917.7113928623
7,1409917.7113928623
8,1409917.7113928623
9,1409917.7113928623
10,1409917.7113928623
11,1409917.7113928623
12,1409917.7113928623
13,1409917.7113928623
14,1409917.7113928623
15,1409917.7113928623
16,1409917.7113928623
17,1409917.7113928623
18,1409917.7113928623
19,1409917.7113928623
20,1409917.7113928623
21,1409917.7113928623
22,1409917.7113928623
23,1409917.7113928623
24,1409917.7113928623
25,1409917.7113928623
26,1409917.7113928623
27,1409917.7113928623
28,1409917.7113928623
29,1409917.7113928623
30,1409917.7113928623
31,1409917.7113928623
32,1409917.7113928623
33,1409917.7113928623
34,1409917.7113928623
35,1409917.7113928623
36,1409917.7113928623
37,1409917.7113928623
38,1409917.7113928623
39,1409917.7113928623
40,1409917.7113928623
41,1409917.7113928623
42,1409917.7113928623
43,1409917.7113928623
44,1409917.7113928623
45,1409917.7113928623
46,1409917.7113928623
47,1409917.7113928623
48,1409917.7113928623
49,1409917.7113928623
50,1409917.7113928623
51,1407737.838677531
52,1409171.0433007884
53,1407883.506119069
54,1388916.8144507275
55,1377911.6015522014
56,1400903.9297019446
57,1386728.1109817773
58,1386212.485046694
59,1398606.357618112
60,1373212.113277234
61,1398895.1115438987
62,1411079.67711454
