,0
0,1000000.0
1,999894.558469577
2,996649.93996928
3,989811.3686402249
4,984112.50945195
5,985468.9554915857
6,991802.7799417588
7,974513.0788401278
8,983956.7724777533
9,962020.0452162654
10,966329.847315978
11,953236.9265461818
12,961147.8006370796
13,976463.9217952837
14,962771.445903603
15,975498.2724862732
16,966022.2648940721
17,968668.7301887145
18,995535.0674323525
19,996540.2559643826
20,980114.169986895
21,987010.6418931995
22,989816.1249077638
23,974533.9365850863
24,959309.9277398048
25,962896.9575372109
26,963417.8600800883
27,955344.6852689967
28,972630.7755041156
29,984393.460375875
30,1000554.7984939584
31,994413.8086372733
32,997323.7379435364
33,1013783.1704029287
34,1008945.4418825584
35,1013732.5312145618
36,1028664.355115783
37,1023799.6694955571
38,1012319.7294780292
39,1027254.8766170403
40,1028536.7505600837
41,1030895.1179537573
42,1030916.7409526454
43,1034821.3164073136
44,1026379.4053499954
45,1024159.9272845852
46,1021577.2707518303
47,1032690.6975205195
48,1034421.4242705057
49,1037997.4642242647
50,1043993.3776499631
51,1054101.970430024
52,1056726.6725086907
53,1057559.3193262129
54,1055797.1599372528
55,1051824.673776291
56,1054604.4039983493
57,1055909.5339791996
58,1064269.3058303911
59,1071148.288139046
60,1066449.4258859046
61,1071881.4991533787
62,1069673.0882661373
