,0
0,1186638.5222104297
1,1188120.6799426335
2,1191629.0391228783
3,1189556.3126184146
4,1192120.18188402
5,1191490.900602875
6,1187811.4469311265
7,1178041.8417848726
8,1184645.982060114
9,1181856.175884149
10,1175129.0576536336
11,1183874.5846953294
12,1183971.8328593539
13,1192445.5669370303
14,1203085.961795676
15,1203854.3378867998
16,1206827.3720594703
17,1205243.4252533768
18,1203495.0372264602
19,1202291.5670548454
20,1202152.9957892573
21,1202126.2451013995
22,1203027.6094967816
23,1203314.2808836186
24,1202886.113843547
25,1202886.113843547
26,1202886.113843547
27,1202707.7930961777
28,1202557.7611649923
29,1202557.7611649923
30,1202557.7611649923
31,1202557.7611649923
32,1202557.7611649923
33,1202557.7611649923
34,1202273.343634897
35,1202585.5238165904
36,1202329.8524773798
37,1202404.274697856
38,1201811.6145639364
39,1201665.7536471777
40,1203383.9743971438
41,1203930.5393515786
42,1203802.6362816477
43,1202913.6822977848
44,1204072.5175007132
45,1204004.6694991721
46,1206847.9139196803
47,1204075.5945242788
48,1209131.5579661685
49,1213630.409799852
50,1211813.3653167544
51,1214754.8004315207
52,1220817.4815797212
53,1217950.6973819651
54,1214101.1950483837
55,1214041.6053687315
56,1213502.0058345194
57,1213416.6984517328
58,1204836.8159324587
59,1209648.5834327766
60,1198698.7682215774
61,1199592.861350753
62,1205989.8812816534
