,0
0,1166419.326464172
1,1173355.2608485545
2,1162241.0810762304
3,1162787.2678064744
4,1155124.7367158877
5,1154376.4169631002
6,1162025.4887716596
7,1156255.8523521386
8,1156419.9716091622
9,1161394.7871893365
10,1156038.0150202713
11,1146807.1092997172
12,1156824.7251183928
13,1158343.4865008537
14,1166156.4675221224
15,1170340.1481787632
16,1173710.2971204717
17,1175146.4576142123
18,1169416.263567923
19,1160064.6596465397
20,1154817.9307875868
21,1153524.3439171
22,1156817.6483239701
23,1151727.8732030408
24,1150678.278873551
25,1146547.756891487
26,1152733.059262429
27,1161189.5960440515
28,1166211.0227686334
29,1170728.8166643868
30,1175312.9011336833
31,1171299.814975517
32,1171849.5752582524
33,1179693.4124498854
34,1175461.941209582
35,1178979.8147447724
36,1180766.0634009496
37,1181684.0164739399
38,1178778.28896892
39,1195729.6962380735
40,1198513.9515663257
41,1194340.304625885
42,1192939.5567088653
43,1189461.4493276647
44,1183308.9409658373
45,1185580.1599291868
46,1186051.9061469114
47,1186462.8455089333
48,1184284.6247214382
49,1191025.5211812877
50,1192815.8062880437
51,1195182.4876925915
52,1191159.6864877592
53,1182440.2728837184
54,1183482.4303407837
55,1186553.5227954956
56,1182711.7049661397
57,1181537.6903541663
58,1187792.6443601588
59,1187355.2985509308
60,1195642.9640683564
61,1186929.2335809148
62,1186638.5222104297
