,0
0,1096212.1510207616
1,1088347.2975804834
2,1098703.4516049486
3,1100234.8750524875
4,1095892.6281844545
5,1108707.631864924
6,1094837.8744135315
7,1091300.0754697598
8,1088711.4039574002
9,1090180.8401263058
10,1089345.263514724
11,1090319.4252116922
12,1093294.713161501
13,1092364.8695590412
14,1087473.605068391
15,1094638.2093992482
16,1092891.3428794967
17,1106603.098801967
18,1101482.116721698
19,1091006.4608485196
20,1082582.8890250754
21,1080451.2800207066
22,1074851.5832421344
23,1073874.5746899524
24,1073618.279688353
25,1098332.2587190438
26,1096960.5164256103
27,1114337.1520460744
28,1132742.2704370848
29,1129162.39629131
30,1124551.7445948748
31,1126617.2544937644
32,1119505.916510198
33,1120386.3090507805
34,1120289.0091220676
35,1129867.707307237
36,1138415.204585769
37,1142450.6597206185
38,1145394.662872867
39,1140475.325336555
40,1135740.2547035362
41,1140482.4861831607
42,1137914.8437690807
43,1136766.2974480442
44,1137583.175521841
45,1137707.8763730028
46,1158431.7822136502
47,1157744.740636796
48,1164363.0812427164
49,1175105.5037807443
50,1192396.5215753198
51,1177446.5385521292
52,1179291.8147684885
53,1173964.2197763992
54,1173624.55803952
55,1181105.0023933074
56,1178200.3763400207
57,1177989.3624105896
58,1176231.8614792305
59,1177932.7514634184
60,1171117.8378760866
61,1172102.6200761464
62,1166419.326464172
