,0
0,1128251.5327762824
1,1129116.1196163688
2,1120620.7073481134
3,1132077.0213494983
4,1136322.7398345487
5,1145747.103831901
6,1144771.7781855443
7,1149087.2501034094
8,1150491.2550396193
9,1147636.4113073025
10,1146624.4642833753
11,1144690.2320636876
12,1140709.2520300774
13,1144714.077067155
14,1131229.7331193457
15,1128146.1427406084
16,1123169.2408654343
17,1118669.0437939418
18,1108115.4501473529
19,1089300.9069761406
20,1094333.4128296722
21,1098165.8240149752
22,1098881.5146429737
23,1106932.2976054552
24,1111767.415705855
25,1112513.7549664509
26,1098167.2424779905
27,1103815.8896201532
28,1109095.9843698868
29,1112149.5292390909
30,1110729.227974725
31,1111908.1543298683
32,1115716.474373425
33,1109105.5851315416
34,1110954.085833306
35,1108422.386449583
36,1107296.8744362947
37,1104522.5680782187
38,1101692.0269689998
39,1109035.9764763012
40,1103576.9396738776
41,1099646.3436925267
42,1098850.5294041026
43,1105859.4000482592
44,1115584.2158279952
45,1111639.5615036984
46,1113369.6059283253
47,1085684.0090129324
48,1095376.7103327778
49,1075910.594425998
50,1069951.6774681928
51,1077321.7591608616
52,1069077.2853516133
53,1069175.895183762
54,1064157.8044214302
55,1076100.3621484954
56,1082030.107183121
57,1077844.7039880918
58,1068580.8651008285
59,1074223.591018096
60,1096398.2584758268
61,1087478.4054641514
62,1096212.1510207616
