,0
0,1205989.8812816534
1,1196193.7712682113
2,1202523.2440808795
3,1200083.884167535
4,1197525.8498653139
5,1207711.5688702741
6,1208122.4082456876
7,1214652.0665826648
8,1213526.9490139051
9,1214624.615883536
10,1219657.8044677866
11,1218159.9840821454
12,1212370.3831878034
13,1208036.3951385992
14,1213523.2977916088
15,1210783.7011738424
16,1215664.9910592714
17,1214449.366887543
18,1215143.0478044616
19,1217006.858533937
20,1217240.144917066
21,1219328.2681839052
22,1220847.4548436396
23,1217995.5984819015
24,1215281.4220151475
25,1217780.6002370513
26,1207964.5048017935
27,1207620.5351078727
28,1212591.1870756247
29,1209012.150538235
30,1211310.4760305425
31,1197038.7362592237
32,1192251.1906255225
33,1195489.1666025107
34,1203905.1023328751
35,1199864.5708011542
36,1195148.6961012427
37,1198424.2358217963
38,1196620.0495377693
39,1199416.5485893616
40,1197456.3321078636
41,1200063.7062248755
42,1200104.8615023948
43,1192458.4076563024
44,1202768.2862192665
45,1204027.945805814
46,1205385.5866625367
47,1217715.7062120866
48,1219718.8905599257
49,1221704.9861064574
50,1223852.652578244
51,1226024.5879243899
52,1226887.8186077164
53,1226057.512614751
54,1226056.789162564
55,1223194.696734929
56,1222751.189925847
57,1222432.5668352903
58,1222034.2038967733
59,1224812.257096828
60,1227328.373401762
61,1226944.2757850722
62,1231986.089945136
