,0
0,-33652.52609722479
1,-3608.8858910305426
2,29186.539600984892
3,-18266.965631003957
4,21026.455657036742
5,-12826.342116302578
6,14092.491075665224
7,20112.935921059223
8,4868.394130256958
9,-2281.971203241963
10,-1445.2816359638236
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,-66.01957172667608
29,-161.60141000710428
30,189.23141821334139
31,3170.213197208708
32,-4709.025959850522
33,348.3044658806175
34,-1242.289113915991
35,302.57476119394414
36,-12993.43735510786
37,9813.360749910818
38,-11534.807264981791
39,9355.325565508567
40,7865.442205985775
41,-779.1284574519377
42,23452.142164573772
43,2604.8592436604667
44,7435.713254694827
45,6244.738588199951
46,1576.2829918621574
47,-10497.385151118506
48,-1171.487199567724
49,-3681.3472753479145
50,-10330.741657420294
51,-25330.383052278543
52,-3301.3533544249367
53,-13258.589317980688
54,4486.999136954546
55,-19243.315868731355
56,-3017.663707649801
57,-9902.73374430486
58,4006.4977276625577
59,2007.5880393623374
60,-1395.4532160079107
61,0.0
