,0
0,7372.893461723812
1,-8495.412268255372
2,11456.31400138489
3,4245.718485050369
4,9424.36399735231
5,-975.3256463566795
6,4315.471917865099
7,1404.0049362098798
8,-2854.8437323167454
9,-1011.9470239272341
10,-1934.232219687663
11,-3980.980033610249
12,4004.825037077535
13,-13484.34394780919
14,-3083.59037873731
15,-4976.901875174139
16,-4500.197071492439
17,-10553.593646588968
18,-18814.54317121231
19,5032.505853531649
20,3832.4111853030045
21,715.6906279984396
22,8050.782962481491
23,4835.11810039985
24,746.3392605958506
25,-14346.512488460401
26,5648.647142162779
27,5280.094749733573
28,3053.544869204052
29,-1420.3012643659022
30,1178.9263551433105
31,3808.320043556625
32,-6610.889241883298
33,1848.5007017643657
34,-2531.699383722851
35,-1125.5120132884476
36,-2774.3063580759335
37,-2830.5411092189606
38,7343.9495073014405
39,-5459.036802423652
40,-3930.595981350867
41,-795.8142884240951
42,7008.870644156588
43,9724.815779736033
44,-3944.654324296862
45,1730.0444246269763
46,-27685.596915392904
47,9692.701319845393
48,-19466.115906779887
49,-5958.916957805166
50,7370.081692668842
51,-8244.473809248302
52,98.60983214876615
53,-5018.090762331849
54,11942.55772706517
55,5929.745034625521
56,-4185.403195029125
57,-9263.838887263322
58,5642.725917267613
59,22174.667457730742
60,-8919.853011675412
61,8733.74555661017
