,0
0,-105.44153042300604
1,-3244.618500296958
2,-6838.571329055121
3,-5698.859188274946
4,1356.446039635688
5,6333.824450173182
6,-17289.701101631043
7,9443.693637625547
8,-21936.727261487977
9,4309.802099712659
10,-13092.920769796241
11,7910.874090897851
12,15316.121158204041
13,-13692.47589168069
14,12726.826582670212
15,-9476.007592201116
16,2646.465294642374
17,26866.337243638
18,1005.1885320300935
19,-16426.0859774875
20,6896.471906304476
21,2805.4830145642627
22,-15282.18832267751
23,-15224.008845281438
24,3587.0297974060522
25,520.9025428773602
26,-8073.174811091507
27,17286.09023511887
28,11762.684871759382
29,16161.338118083426
30,-6140.9898566851625
31,2909.929306263104
32,16459.432459392352
33,-4837.728520370321
34,4787.089332003379
35,14931.823901221273
36,-4864.685620225966
37,-11479.9400175279
38,14935.147139011067
39,1281.873943043407
40,2358.3673936736304
41,21.62299888813868
42,3904.575454668142
43,-8441.911057318212
44,-2219.4780654101633
45,-2582.6565327548888
46,11113.426768689184
47,1730.7267499861773
48,3576.0399537590565
49,5995.913425698411
50,10108.592780060833
51,2624.702078666771
52,832.6468175221235
53,-1762.1593889601063
54,-3972.4861609616783
55,2779.7302220582496
56,1305.1299808502663
57,8359.77185119153
58,6878.982308654813
59,-4698.862253141357
60,5432.073267474072
61,-2208.4108872413635
