,0
0,1411079.67711454
1,1392986.4192063333
2,1389377.5333153028
3,1418564.0729162877
4,1400297.1072852837
5,1421323.5629423205
6,1408497.220826018
7,1422589.7119016831
8,1442702.6478227424
9,1447571.0419529993
10,1445289.0707497573
11,1443843.7891137935
12,1443843.7891137935
13,1443843.7891137935
14,1443843.7891137935
15,1443843.7891137935
16,1443843.7891137935
17,1443843.7891137935
18,1443843.7891137935
19,1443843.7891137935
20,1443843.7891137935
21,1443843.7891137935
22,1443843.7891137935
23,1443843.7891137935
24,1443843.7891137935
25,1443843.7891137935
26,1443843.7891137935
27,1443843.7891137935
28,1443843.7891137935
29,1443777.7695420668
30,1443616.1681320597
31,1443805.399550273
32,1446975.6127474818
33,1442266.5867876313
34,1442614.891253512
35,1441372.602139596
36,1441675.1769007898
37,1428681.739545682
38,1438495.1002955928
39,1426960.293030611
40,1436315.6185961196
41,1444181.0608021053
42,1443401.9323446534
43,1466854.0745092272
44,1469458.9337528876
45,1476894.6470075825
46,1483139.3855957824
47,1484715.6685876446
48,1474218.283436526
49,1473046.7962369584
50,1469365.4489616104
51,1459034.7073041901
52,1433704.3242519116
53,1430402.9708974867
54,1417144.381579506
55,1421631.3807164605
56,1402388.0648477292
57,1399370.4011400794
58,1389467.6673957745
59,1393474.165123437
60,1395481.7531627994
61,1394086.2999467915
62,1394086.2999467915
